annee;id_zone;id_quartier;nom_quartier;ref;max;min
2022;2;22;Odeon;35.7;42.84;24.99
2022;10;49;Salpêtrière;25.2;30.24;17.64
2022;4;9;Arts-et-Metiers;26.4;31.68;18.48
2022;9;46;Picpus;26.1;31.32;18.27
2022;12;51;Maison-Blanche;22.5;27.0;15.75
2022;2;16;Notre-Dame;27.1;32.52;18.97
2022;2;21;Monnaie;35.7;42.84;24.99
2022;3;32;Europe;29.4;35.28;20.58
2022;8;57;Saint-Lambert;24.4;29.28;17.08
2022;10;42;Saint-Ambroise;28.5;34.2;19.95
2022;10;55;Petit-Montrouge;26.3;31.56;18.41
2022;1;23;Notre-Dame-des-Champs;27.5;33.0;19.25
2022;6;65;Ternes;25.4;30.48;17.78
2022;10;18;Jardin-des-Plantes;26.0;31.2;18.2
2022;1;23;Notre-Dame-des-Champs;39.3;47.16;27.51
2022;7;61;Auteuil;24.0;28.8;16.8
2022;2;24;Saint-Germain-des-Prés;29.0;34.8;20.3
2022;1;25;Saint-Thomas-d'Aquin;39.3;47.16;27.51
2022;1;23;Notre-Dame-des-Champs;34.7;41.64;24.29
2022;13;80;Charonne;26.7;32.04;18.69
2022;13;72;La Chapelle;16.3;19.56;11.41
2022;13;75;Amérique;21.2;25.44;14.84
2022;4;9;Arts-et-Metiers;36.0;43.2;25.2
2022;13;75;Amérique;21.3;25.56;14.91
2022;3;32;Europe;27.8;33.36;19.46
2022;3;62;Muette;27.9;33.48;19.53
2022;2;29;Champs-Elysées;29.0;34.8;20.3
2022;13;73;Villette;14.5;17.4;10.15
2022;10;55;Petit-Montrouge;29.6;35.52;20.72
2022;2;21;Monnaie;25.4;30.48;17.78
2022;10;55;Petit-Montrouge;27.2;32.64;19.04
2022;11;48;Quinze-Vingts;25.1;30.12;17.57
